Last Name,First Name,Event,Date,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Al-Nasser,Zaid,U20MF,12/8/2024,Ref: 2,,,Ref: 5,Ref: 3,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Al-Nasser,Zaid,V60MF,1/3/2025,Ref: 1,,,,,,,Ref: 3,Ref: 2,Ref: 1,,,
Al-Nasser,Zaid,DV1MF,1/4/2025,Ref: 1,Ref: 1,,,Ref: 2,,,,,,,,
Al-Nasser,Zaid,VTMMF,1/4/2025,,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,
Al-Nasser,Zaid,U17WF,1/5/2025,Ref: 1,,,,,,,,,,,,
Al-Nasser,Zaid,V60WF,1/5/2025,,,,,,,,,,Ref: 1,,,
Al-Nasser,Zaid,V70ME,1/6/2025,Ref: 1,,,,,,,,,,,,
Al-Nasser,Zaid,DV1MF,2/14/2025,Ref: 1,,,,Ref: 2,,,,,,,,
Al-Nasser,Zaid,U20ME,2/14/2025,,,,Ref: 2,Ref: 3,,Ref: 1,,,,,,
Al-Nasser,Zaid,U20WE,2/14/2025,,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Al-Nasser,Zaid,U20MF,2/15/2025,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Al-Nasser,Zaid,U20WF,2/15/2025,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 2,,,,,,
Al-Nasser,Zaid,U17MF,2/16/2025,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Al-Nasser,Zaid,U17WF,2/17/2025,Ref: 1,,,Ref: 2  Video: 1,Ref: 4,,Ref: 1,,,,,,
Al-Nasser,Zaid,U16WF,3/7/2025,Ref: 1,,,Ref: 1,Ref: 2,,,,,,,,
Al-Nasser,Zaid,Y10MF,3/8/2025,Ref: 1,,,,Ref: 2,,,,,,,,
Al-Nasser,Zaid,Y14WF,3/8/2025,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,,,,,
Al-Nasser,Zaid,Y10WF,3/9/2025,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,Ref: 1
Al-Nasser,Zaid,Y12WF,3/10/2025,Ref: 2,,,Ref: 4,,,,,,,,,
Al-Nasser,Zaid,V50WE,4/11/2025,Ref: 1,,,,,,,Ref: 2,Ref: 1,Video: 1,,,Ref: 1
Al-Nasser,Zaid,V60MS,4/11/2025,Ref: 1,,,,,,,Ref: 2,Ref: 2,Ref: 1,Video: 1,,
Al-Nasser,Zaid,DV1WE,4/12/2025,Ref: 1,,,,,,,,,,,,
Al-Nasser,Zaid,VETWE,4/12/2025,Ref: 1,,,,,,,Ref: 1,Ref: 1,Ref: 1,,,
Al-Nasser,Zaid,U19MS,4/13/2025,Ref: 2,,,Ref: 3,Ref: 3,,Ref: 2,,,,,,
Al-Nasser,Zaid,V70WS,4/13/2025,Ref: 1,,,,,,,,Ref: 2,Ref: 1  Video: 1,Ref: 1,,
Al-Nasser,Zaid,JTMMS,4/14/2025,,,,,,,,,,Ref: 1,,,
Al-Nasser,Zaid,VETWS,4/14/2025,Ref: 1,,,,,,Ref: 2,Ref: 1,Ref: 2,Ref: 1,Ref: 1,,
Al-Nasser,Zaid,U19MF,5/16/2025,Ref: 1, , , ,Ref: 2, ,Ref: 1,Ref: 1, , , , , 
Al-Nasser,Zaid,U19WF,5/16/2025,Ref: 1, , , ,Ref: 1, ,Ref: 2,Ref: 1, , , , , 
Al-Nasser,Zaid,U16MF,5/17/2025,Ref: 1, , , ,Ref: 2, ,Ref: 3,Ref: 1, , , , , 
Al-Nasser,Zaid,U16MS,5/18/2025,Ref: 2, , , ,Ref: 4, ,Ref: 4,Ref: 2,Ref: 1, , , , 
