Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Acosta Pereira,Vilmarie,12/3/2016,VETMS,Ref: 1,,,,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,
Acosta Pereira,Vilmarie,12/4/2016,VETWS,Ref: 1,,,,,,Ref: 1,Ref: 1,Ref: 1,,,,
Acosta Pereira,Vilmarie,2/17/2017,U16WS,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Acosta Pereira,Vilmarie,2/18/2017,JTMME,,,,,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,,
Acosta Pereira,Vilmarie,2/18/2017,U19MS,Ref: 1,,,Ref: 3,Ref: 3,,,,,,,,
Acosta Pereira,Vilmarie,2/19/2017,U16ME,,,,,Ref: 2,,Ref: 1,,,,,,
Acosta Pereira,Vilmarie,2/19/2017,U19WS,Ref: 2,,,Ref: 1,Ref: 3,,Ref: 1,,Assist: 1,,,,Assist: 1
Acosta Pereira,Vilmarie,2/20/2017,JTMWS,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Acosta Pereira,Vilmarie,2/20/2017,U16MS,,,,Ref: 1,Ref: 2,,Ref: 2,,Assist: 1,,,,
Acosta Pereira,Vilmarie,2/20/2017,U16WE,,,,,,,Ref: 2,,,,,,
Acosta Pereira,Vilmarie,3/10/2017,14TMMS,,,,,,,,,,Ref: 1,,Ref: 1,
Acosta Pereira,Vilmarie,3/10/2017,Y14ME,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,Assist: 1,,,
Acosta Pereira,Vilmarie,3/11/2017,Y12MS,Ref: 1,,,,Ref: 3,,Ref: 3,Ref: 1,,,,,
Acosta Pereira,Vilmarie,3/11/2017,Y12WS,Ref: 1,,,,,,Ref: 1,Ref: 1,Ref: 2  Assist: 1,Assist: 1,,,
Acosta Pereira,Vilmarie,3/12/2017,DV2WS,Ref: 2,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Acosta Pereira,Vilmarie,3/12/2017,Y14MS,Ref: 2,,,Ref: 1,Ref: 4,,Ref: 5,Ref: 1,,Assist: 1,,,
Acosta Pereira,Vilmarie,3/13/2017,DV2MS,,,,,,,,,,Assist: 1,,,
Acosta Pereira,Vilmarie,3/13/2017,Y10WE,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,,Ref: 1
Acosta Pereira,Vilmarie,3/13/2017,Y14WS,Ref: 2,,,,Ref: 5,,Ref: 3,Ref: 2,Ref: 1,Ref: 1,Assist: 1,,
Adams,James,7/1/2017,U19ME,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 2,,Video: 1,,,,
Adams,James,7/2/2017,D1AME,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Adams,James,7/4/2017,STMWE,,,,,,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,
Adams,James,7/4/2017,U16ME,Ref: 1,,,,Ref: 2,,,,,,,,
Adams,James,7/6/2017,DV2WE,Ref: 1,,,,,,,,,Ref: 1,,,
Adams,James,7/6/2017,Y14ME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Adams,James,7/7/2017,DV2ME,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Adams,James,7/7/2017,DV3WE,Ref: 1,,,,,,,,,,Video: 1,,
Adams,James,7/8/2017,DV3ME,Ref: 1,,,,,,,,,,,,
Adams,James,7/8/2017,Y14WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,,,,
Adams,James,7/9/2017,Y10WE,Ref: 1,,,,,,Ref: 1,Ref: 1,,Video: 1,,,
Adams,James,7/9/2017,Y12ME,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Adams,James,7/10/2017,Y10ME,Ref: 1,,,,,,Ref: 2,,,,,,
Adams,James,7/10/2017,Y12WE,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Alford,April,7/1/2017,DV1WE,,,,,,,Ref: 2,,,,,,
Alford,April,7/1/2017,U19ME,Ref: 1,,,Ref: 1,Ref: 2,,,,,,,,
Alford,April,7/2/2017,D1AME,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,,,,
Alford,April,7/2/2017,D1AWE,Ref: 1,,,,Ref: 1,,,,,,,,
Alford,April,7/3/2017,DV1ME,,,,,Ref: 1,,Ref: 1,Ref: 1,Assist: 1,,,,
Alford,April,7/3/2017,U19WE,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,Assist: 1,,,,
Alford,April,7/4/2017,U16ME,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Assist: 1,Assist: 1,,,
Alford,April,7/4/2017,V40WE,,,,,,,,Ref: 1,Ref: 1,Ref: 1  Video: 1,Assist: 1,,
Alford,April,7/5/2017,STMME,,,,,,,Ref: 1,Ref: 1,Ref: 1,,,,
Alford,April,7/5/2017,U16WE,Ref: 1,,,,,,,,,,,,
Alford,April,7/5/2017,V50ME,,,,,,,,,,Ref: 1  Assist: 1,,,
Alford,April,7/6/2017,DV2WE,Ref: 1,,,,Ref: 1,,Ref: 2,,,,,,
Alford,April,7/6/2017,Y14ME,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Alford,April,7/8/2017,DV3ME,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,,,,
Alford,April,7/9/2017,Y10WE,Ref: 1,,,,,,Ref: 1,Ref: 1,,Ref: 1,,,
Alford,April,7/9/2017,Y12ME,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,,,,,
Alford,April,7/10/2017,Y10ME,,,,,,,Ref: 2,,Ref: 1,Assist: 1,,,
Alford,April,7/10/2017,Y12WE,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,Assist: 1,,,
Alperstein,Donald,11/14/2016,CTMME,,,,,,,,,Ref: 1,Ref: 1,,,Ref: 1
Alperstein,Donald,11/11/2016,CTMWE,,,,,,,,,Ref: 2,Ref: 1,,,
Alperstein,Donald,11/12/2016,U17WE,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 2,Video: 1,Ref: 1,,,
Alperstein,Donald,11/13/2016,U20ME,Ref: 2,,,,,,,Ref: 1,Video: 1,Ref: 1,Assist: 1,,Video: 1
Alperstein,Donald,11/11/2016,Y10ME,Ref: 1,,,,,,,,,,,,
Alperstein,Donald,1/7/2017,DV1ME,Ref: 1,Ref: 1,,Ref: 2,Ref: 1,,,,Video: 1,,,,Ref: 1
Alperstein,Donald,1/8/2017,DV1WE,Ref: 1,Ref: 1,,,Ref: 1,,Ref: 1,Ref: 2,Ref: 1,,Video: 1,,
Alperstein,Donald,1/9/2017,U20ME,Ref: 2,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 2,,,,,
Alperstein,Donald,1/6/2017,U20WE,Ref: 1,,,,,,,,Ref: 1,Assist: 1,,,
Alperstein,Donald,2/17/2017,U19ME,Ref: 1,,,,,,Ref: 1,Ref: 1,Video: 1,Video: 1,,,
Alperstein,Donald,2/18/2017,JTMME,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,
