,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Tass,Atilio,6/4/2021,U20MS,Ref: 2,,Ref: 1,,Ref: 4,Ref: 1,Video: 1,,,,
Tass,Atilio,6/5/2021,DV1MS,Ref: 2,,,Ref: 2,Ref: 2,Ref: 1,,,,,
Tass,Atilio,6/5/2021,U17WS,Ref: 2,,,Ref: 4,Ref: 3,Ref: 1,Video: 1  Assist: 1,,,,
Tass,Atilio,6/6/2021,DV1WS,,,,Ref: 2,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Video: 1,,,
Tass,Atilio,6/6/2021,U17MS,Ref: 1,,,Ref: 5,Ref: 3,,Ref: 1  Video: 1,Video: 1,,,
Tass,Atilio,6/7/2021,U20WS,Ref: 1,,,Ref: 5,Ref: 1,Ref: 1,Video: 1,Video: 1,,,
Temple,Jackson,5/6/2021,Y14MF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 2,Assist: 1,,,
Temple,Jackson,5/6/2021,Y14WF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,,Assist: 1,Video: 1,,Assist: 1
Temple,Jackson,5/7/2021,DV1MF,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1 Assist: 1,Ref: 1,,,
Temple,Jackson,5/8/2021,DV1WF,,,,Ref: 1,Ref: 3,Ref: 1,,,,,
Temple,Jackson,5/8/2021,U17MF,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,Video: 1 Assist: 1,Ref: 1,Video: 1,,Video: 1
Temple,Jackson,5/9/2021,U20MF,Ref: 1,,,Ref: 2,Ref: 1,,Video: 2 Assist: 1,Video: 1,Assist: 1,,
Temple,Jackson,5/9/2021,U20WF,,,,Ref: 1,,,,,,,
Temple,Jackson,6/4/2021,U20MF,Ref: 1,,Ref: 1,Ref: 1,Ref: 2,Ref: 1,Assist: 1,Video: 1,,,Assist: 1
Temple,Jackson,6/5/2021,DV1MF,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1  Assist: 1,Video: 1,,,
Temple,Jackson,6/5/2021,U17WF,,,,Ref: 2,Ref: 1,,,,,,
Temple,Jackson,6/6/2021,DV1WF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1  Assist: 1,Assist: 1,,,
Temple,Jackson,6/6/2021,U17MF,Ref: 1,,,Ref: 3,Ref: 1,Ref: 1,,,,,
Temple,Jackson,6/7/2021,U20WF,Ref: 1,,,,Ref: 1,,Ref: 1,,,,
Temple,Jackson,7/3/2021,DV1WF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Assist: 1,,,
Temple,Jackson,7/3/2021,U17MF,Ref: 1,,Ref: 2,Ref: 2,,,,,,,
Temple,Jackson,7/4/2021,DV1MF,Ref: 1,,,Ref: 3,Ref: 1,Ref: 1,Assist: 1,,,,
Temple,Jackson,7/4/2021,U17WE,Ref: 1,,,,,,,,,,
Temple,Jackson,7/5/2021,STMME,,,,,,Ref: 1,Ref: 1,,,,
Temple,Jackson,7/5/2021,U20WE,Ref: 1,,Ref: 2,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,Assist: 1,,
Temple,Jackson,7/6/2021,U20MF,Ref: 1,,Ref: 3,Ref: 3,Ref: 1,Ref: 1,Ref: 1  Assist: 1,Video: 1,,,
Temple,Jackson,7/7/2021,V50WF,,,,,,Ref: 1,Ref: 1,Ref: 2,Assist: 1,,
Temple,Jackson,7/7/2021,Y14MF,Ref: 1,,,,,,,,,,
Tesche,Askhat,4/16/2021,Y14MF,,,,Ref: 2,Ref: 1,,,,,,
Tesche,Askhat,4/16/2021,Y14WF,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,Assist: 1
Tesche,Askhat,4/17/2021,DV1MF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,,
Tesche,Askhat,4/17/2021,Y12WF,Ref: 1,,,,Ref: 1,Ref: 1,,,,,
